ProjectName,LocationName,ProjectDate,ContactName
King Khalid University Hospital,Jeddah,1/10/2022,Mr. Salah Al Fanni (Technical Project Manager)
Mobily Showroom,Makkah,1/18/2022,Engr. Abdullatif Shaath (Engineer)
(AWC) King Abdul Aziz Dhahran,Dhahran,2/2/2022,Mr. Maqsood A Khan (T)
Mobily Jizan FBO,Jizan,4/25/2022,Mr. Ansar (Procurement officer)
(KACST) Abunayyan,Riyadh,6/7/2022,Mr. Nabeel (Procurement Manager)
(10 KVA UPS) King Abdul Aziz Airbase YUKSEL,Dhahran,9/6/2022,Mr. Bunyamin can Aydogdu (Technical officer Engineer)
(SFS) ROCHE JEDDAH,Jeddah,5/4/2022,Mr. Salah Al Fanni (Technical Project Manager)
(LTEWP-1365) Salboukh Airbase ISE,Riyadh,6/30/2022,Mr. Arnulfu Fernandez (Senior Procurement Officer)
Jizan Hospital ROCHE,Jizan,6/9/2022,Mr. Salah Al Fanni (Technical Project Manager)
(AWC DHAHRAN) ,Dhahran,4/24/2022,Mr. Mohammed Samer Al Amir (Operation manager)
(AWC DHAHRAN-Low current+SALP000001),Dhahran,4/13/2022,Mr. Mohammed Samer Al Amir (Operation manager)
Regional Lab Makkah ROCHE,Makkah,4/28/2022,Mr. Salah Al Fanni (Technical Project Manager)
Al- Takhassousi Street- Riyadh,Riyadh,4/11/2022,Salem Ghoniem (Chief operation officer)
(MOC) Techno Electro mechanical works,Abha,4/26/2022,Engr. Yazan Al-Ramlawi (PMP)
Regional Laboratory Al Jouf,Al-Jouf,5/12/2022,Mr. Salah Al Fanni (Technical Project Manager)
Central Lab Najran,Najran,6/29/2022,Dr. Fareed Mohammed (T)
ACGC Green Area Itlan CCTV PA,Dhahran,4/2/2022,Mr. Joyee Gonzales (Supply chain officer)
Services Maintenance,Abha,8/22/2022,Munirah Abdulaziz (Originator)
Mobily Al Amjardh,Riyadh ,11/27/2022,Engr. Abdullatif Shaath (Engineer)
RSLFAC- Phase 2A Facilities and Infrastructure,Qassim,12/12/2022,Engr. Jessie A Bautista (Electrical engineer)
Power module 25 KVA,Riyadh,1/2/2023,Engr. Qais Adeeb (Projects Sales Engineer)
10 KVA UPS Sinmar company limited,Riyadh,2/4/2023,Mr. Binoj Varghese (Project Manager)
UPS for Dhahran airbase 120 minutes backup time,Dhahran,3/7/2023,Mr. Ammar Al Baik (Project Manager)
Mobily Arkeed & Rafhaa,Al- Khobar,3/8/2023,Engr. Abdullatif Shaath (Engineer)
RSLF- Simulator Project Qassim,Qassim,4/2/2023,Mr. Binoj Varghese (Project Manager)
10 KVA KEOR MOD,Abha,1/26/2023,Engr. Qais Adeeb (Projects Sales Engineer)
10 KVA UPS for Communication Room,Riyadh,2/19/2023,Mr. Naif Al Dosari (Manager)
Regional Lab and central blood bank Al-Qassim,Qassim,2/27/2023,Mr. Mohammed Almagerel (Warehouse opration cordinator)
RSNF Poject Jubail (KNAB CCTV Project),Jubail,2/15/2023,Mr. Joyee Gonzales (Supply chain officer)
UPS-SLS AL Majmaah (KFAA Satellite Landing Strip),Abha,2/9/2023,Mr. Joyee Gonzales (Supply chain officer)
Makkah-FS,Makkah,4/2/2023,Engr. Abdullatif Shaath (Engineer)
NOVOTEL,Riyadh,4/5/2023,Mr. Joyee Gonzales (Supply chain officer)
Startup service & Extended warranty,Al Majmaa,4/9/2023,Mr. Joyee Gonzales (Supply chain officer)
Power module KEOR MOD 25 KVA ,Al- Kharj,4/27/2023,Mr. Nabeel (Procurement Manager)
Nira Specialized medical center,Riyadh,4/9/2023,Mr. Mohammed Ansar (T)
KEOR-T 40 KVA,Riyadh,5/4/2023,Engr. Qais Adeeb (Projects Sales Engineer)
ISE TSI 190 NodeS,Jubail,4/30/2023,Mr. Joyee Gonzales (Supply chain officer)
ISE-TSI WIFI Solution,Riyadh,4/17/2023,Mr. Joyee Gonzales (Supply chain officer)
Supply of Fuse's,Riyadh,4/27/2023,Salem Alghubari (Manager)
